14:50:03.008 -> deg: 135, a: 434, D: 5.63, t: 930365, 
14:50:03.523 -> deg: 135, a: 434, D: 5.75, t: 930868, 
14:50:03.991 -> deg: 135, a: 435, D: 6.18, t: 931372, 
14:50:04.508 -> deg: 135, a: 435, D: 5.80, t: 931875, 
14:50:05.020 -> deg: 135, a: 434, D: 5.85, t: 932378, 
14:50:05.523 -> deg: 135, a: 434, D: 5.90, t: 932881, 
14:50:05.989 -> deg: 135, a: 435, D: 5.47, t: 933384, 
14:50:06.503 -> deg: 135, a: 434, D: 6.00, t: 933888, 
14:50:07.018 -> deg: 135, a: 434, D: 6.07, t: 934391, 
14:50:07.492 -> deg: 135, a: 434, D: 6.18, t: 934894, 
14:50:08.011 -> deg: 135, a: 434, D: 6.18, t: 935397, 
14:50:08.485 -> deg: 135, a: 434, D: 6.28, t: 935900, 
14:50:09.000 -> deg: 135, a: 434, D: 6.28, t: 936403, 
14:50:09.518 -> deg: 135, a: 435, D: 5.95, t: 936906, 
14:50:09.987 -> deg: 135, a: 434, D: 5.95, t: 937409, 
14:50:10.502 -> deg: 135, a: 435, D: 6.00, t: 937912, 
14:50:11.020 -> deg: 135, a: 434, D: 6.55, t: 938415, 
14:50:11.487 -> deg: 135, a: 434, D: 6.55, t: 938918, 
14:50:12.004 -> deg: 135, a: 434, D: 6.66, t: 939421, 
14:50:12.521 -> deg: 135, a: 434, D: 6.73, t: 939924, 
14:50:12.995 -> deg: 135, a: 434, D: 6.73, t: 940427, 
14:50:13.513 -> deg: 135, a: 434, D: 6.33, t: 940930, 
14:50:13.980 -> deg: 135, a: 434, D: 6.62, t: 941433, 
14:50:14.499 -> deg: 135, a: 434, D: 6.66, t: 941936, 
14:50:15.017 -> deg: 135, a: 435, D: 6.50, t: 942439, 
14:50:15.484 -> deg: 135, a: 434, D: 6.55, t: 942942, 
14:50:16.002 -> deg: 135, a: 435, D: 6.61, t: 943446, 
14:50:16.515 -> deg: 135, a: 434, D: 7.09, t: 943949, 
14:50:16.982 -> deg: 135, a: 434, D: 7.16, t: 944452, 
14:50:17.499 -> deg: 135, a: 434, D: 6.78, t: 944955, 
14:50:18.017 -> deg: 135, a: 434, D: 6.38, t: 945458, 
14:50:18.488 -> deg: 135, a: 434, D: 6.88, t: 945961, 
14:50:19.005 -> deg: 135, a: 435, D: 6.98, t: 946464, 
14:50:19.518 -> deg: 135, a: 434, D: 6.98, t: 946967, 
14:50:19.988 -> deg: 135, a: 435, D: 7.53, t: 947470, 
14:50:20.506 -> deg: 135, a: 435, D: 7.09, t: 947973, 
14:50:20.978 -> deg: 135, a: 434, D: 6.93, t: 948476, 
14:50:21.495 -> deg: 135, a: 434, D: 7.21, t: 948979, 
14:50:22.012 -> deg: 135, a: 434, D: 6.83, t: 949482, 
14:50:22.482 -> deg: 135, a: 434, D: 7.36, t: 949985, 
14:50:23.000 -> deg: 135, a: 434, D: 7.41, t: 950488, 
14:50:23.519 -> deg: 135, a: 434, D: 7.89, t: 950990, 
14:50:23.989 -> deg: 135, a: 435, D: 7.96, t: 951494, 
14:50:24.505 -> deg: 135, a: 435, D: 7.74, t: 951997, 
14:50:25.018 -> deg: 135, a: 435, D: 7.57, t: 952500, 
14:50:25.487 -> deg: 135, a: 434, D: 7.21, t: 953004, 
14:50:26.004 -> deg: 135, a: 434, D: 7.26, t: 953507, 
14:50:26.519 -> deg: 135, a: 435, D: 7.31, t: 954010, 
14:50:26.988 -> deg: 135, a: 434, D: 7.36, t: 954513, 
14:50:27.507 -> deg: 135, a: 434, D: 7.64, t: 955016, 
14:50:27.978 -> deg: 135, a: 434, D: 8.39, t: 955518, 
14:50:28.493 -> deg: 135, a: 435, D: 7.96, t: 956022, 
14:50:29.009 -> deg: 135, a: 434, D: 8.44, t: 956525, 
14:50:29.477 -> deg: 135, a: 434, D: 8.07, t: 957028, 
14:50:29.993 -> deg: 135, a: 434, D: 8.12, t: 957531, 
14:50:30.509 -> deg: 135, a: 434, D: 7.74, t: 958035, 
14:50:30.976 -> deg: 135, a: 434, D: 8.44, t: 958537, 
14:50:31.494 -> deg: 135, a: 434, D: 8.27, t: 959040, 
14:50:32.008 -> deg: 135, a: 434, D: 8.34, t: 959543, 
14:50:32.478 -> deg: 135, a: 434, D: 8.82, t: 960046, 
14:50:32.990 -> deg: 135, a: 434, D: 8.87, t: 960549, 
14:50:33.508 -> deg: 135, a: 435, D: 8.44, t: 961052, 
14:50:33.978 -> deg: 135, a: 434, D: 8.29, t: 961555, 
14:50:34.494 -> deg: 135, a: 434, D: 8.77, t: 962058, 
14:50:35.007 -> deg: 135, a: 435, D: 8.17, t: 962561, 
14:50:35.478 -> deg: 135, a: 435, D: 8.22, t: 963064, 
14:50:35.995 -> deg: 135, a: 435, D: 8.70, t: 963567, 
14:50:36.512 -> deg: 135, a: 434, D: 8.77, t: 964070, 
14:50:36.980 -> deg: 135, a: 435, D: 9.25, t: 964573, 
14:50:37.500 -> deg: 135, a: 434, D: 9.30, t: 965076, 
14:50:37.972 -> deg: 135, a: 435, D: 8.87, t: 965580, 
14:50:38.488 -> deg: 135, a: 435, D: 8.93, t: 966083, 
14:50:39.003 -> deg: 135, a: 435, D: 8.98, t: 966586, 
14:50:39.473 -> deg: 135, a: 434, D: 9.05, t: 967089, 
14:50:39.986 -> deg: 135, a: 435, D: 9.10, t: 967592, 
14:50:40.499 -> deg: 135, a: 434, D: 9.15, t: 968095, 
14:50:41.001 -> deg: 135, a: 434, D: 9.42, t: 968598, 
14:50:41.475 -> deg: 135, a: 434, D: 9.68, t: 969101, 
14:50:41.990 -> deg: 135, a: 435, D: 9.73, t: 969604, 
14:50:42.504 -> deg: 135, a: 434, D: 9.30, t: 970107, 
14:50:42.979 -> deg: 135, a: 434, D: 9.37, t: 970610, 
14:50:43.490 -> deg: 135, a: 434, D: 9.84, t: 971113, 
14:50:44.006 -> deg: 135, a: 434, D: 9.47, t: 971616, 
14:50:44.479 -> deg: 135, a: 434, D: 9.73, t: 972119, 
14:50:44.996 -> deg: 135, a: 434, D: 9.58, t: 972622, 
14:50:45.468 -> deg: 135, a: 434, D: 9.63, t: 973125, 
14:50:45.983 -> deg: 135, a: 434, D: 10.11, t: 973628, 
14:50:46.496 -> deg: 135, a: 435, D: 10.18, t: 974131, 
14:50:47.009 -> deg: 135, a: 435, D: 9.73, t: 974635, 
14:50:47.482 -> deg: 135, a: 434, D: 10.23, t: 975138, 
14:50:48.002 -> deg: 135, a: 434, D: 10.28, t: 975641, 
14:50:48.470 -> deg: 135, a: 435, D: 9.85, t: 976144, 
14:50:48.972 -> deg: 135, a: 434, D: 9.96, t: 976647, 
14:50:49.488 -> deg: 135, a: 435, D: 9.53, t: 977150, 
14:50:49.990 -> deg: 135, a: 434, D: 9.58, t: 977654, 
14:50:50.507 -> deg: 135, a: 435, D: 10.54, t: 978157, 
14:50:50.974 -> deg: 135, a: 435, D: 10.33, t: 978660, 
14:50:51.488 -> deg: 135, a: 435, D: 10.59, t: 979163, 
14:50:51.962 -> deg: 135, a: 434, D: 10.66, t: 979666, 
